"BehaviorSpace results (NetLogo 6.0.3)"
"Wealth Distribution.nlogo"
"experiment"
"05/26/2021 20:29:51:540 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"life-expectancy-max","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83"
"metabolism-max","3","3","3","3","3","12","12","12","12","12","25","25","25","25","25"
"grain-growth-interval","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"percent-best-land","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"max-vision","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"life-expectancy-min","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"num-grain-grown","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"[reporter]","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5"
,"0.2609817514724342","0.26186777026345004","0.2700686808825864","0.2408533179235288","0.26684929625815323","0.3458091190664845","0.3827413925672789","0.3920676143998871","0.36647970046252126","0.40329243834131373","0.3906416481284461","0.3998173887758071","0.3940077419354838","0.3864738461538461","0.40984903539988765"
,"0.26335114364135404","0.2685681575628215","0.2730617520828073","0.2456396694214875","0.26653516891415674","0.3555457783364758","0.38804864021033597","0.41417846862406466","0.37125686176659306","0.4164126094570931","0.3863961280714816","0.3930246268656715","0.38539505006612523","0.39948997351494503","0.4224945375091043"
,"0.2713626441064304","0.2747449670655903","0.28251292363529346","0.2606742219823709","0.27628126864644076","0.36826385964912317","0.3920487257573329","0.4218387887527035","0.3803223897421446","0.4195676767676769","0.402021831637373","0.39449497054825555","0.39783281500329853","0.406799778964819","0.42782573561704035"
,"0.28271207007049765","0.27825460192755674","0.29114150083912754","0.2714347315800914","0.2865196657479108","0.36631583215082103","0.3885804904463526","0.4290601861721025","0.38758624454148477","0.4099895253682489","0.38727540552389284","0.413778495202224","0.4290751434214243","0.40642428584221363","0.4210138026224986"
,"0.2890629637305698","0.2950015636867265","0.28802593607305954","0.27836581772258495","0.29996368774889726","0.37185461298666844","0.39520612576378683","0.4429623312011375","0.3927967967967968","0.40033896175292555","0.3925816554809844","0.43115415432851434","0.40613352172377293","0.4040235375562478","0.42021592802399205"
,"0.30860508899576616","0.29576131509686354","0.2924154836434178","0.2901019502804055","0.3088144252441775","0.38573102038124124","0.4102280674609314","0.4456365897471329","0.4013290768821493","0.40352217695441617","0.4150093872674521","0.45007589743589754","0.413594417793284","0.3905546562153877","0.41297450790577606"
,"0.3070926299948517","0.2932171677379226","0.29662330272856596","0.29129409844094356","0.31269087086601444","0.4016981357394016","0.41393599879527154","0.4380630906428855","0.399168908819133","0.39557969122052417","0.423764355944807","0.4343534497090609","0.4226664345403904","0.4073828920570267","0.41335447409733134"
,"0.32361093552465253","0.2992567513099555","0.3040917251648585","0.29985737026424725","0.3230796660078253","0.41285926116949256","0.4197279917214873","0.4328011338014559","0.4016145398497207","0.39393853994903294","0.42405479452054806","0.4603531875680658","0.40582970297029686","0.4178918289232816","0.4222641277641276"
,"0.3231680419526489","0.2997376334034434","0.31458241435699624","0.30611204330175906","0.3254044492928662","0.41929942638623346","0.4286597040905135","0.42206156333561345","0.4028195318399192","0.4020307965649988","0.4041189546410334","0.47309121255111436","0.40407042369395285","0.4122777009999191","0.4104606623707479"
,"0.32635002268945723","0.3042331608174985","0.3205870228378267","0.3152341417910447","0.3280388584388587","0.43115502854633275","0.4222139189960071","0.4248004832376923","0.4147943137501573","0.41461231776257046","0.42809743704700015","0.4741375901466656","0.4118884590586717","0.41410231023102306","0.41881483662054775"
